calle,comuna,numero_region
Balmaceda 615,,
Camino viejo Huachipato 315,,
Sector piedra redonda km 4,,
Parcela,Talcahuano,8.0
Juan de La Cruz Tapia 152,Talcahuano,8.0
Calle Costanera 3443,,
Rinihue 2450 A 30,,
Bilbao 367,Talcahuano,8.0
Brasil 1320,,
Bulnes,,
Camino a las rosas lote h parcela 2,,
Vicente Huidobro Ote.,San Pedro de la Paz,8.0
Av Nueva Providencia 1363 Of 806,Providencia,13.0
Calle G 991 Brisas Del Sol,,
Ruta 5 sur Km 516,,
Galvarino 468,Concepción,8.0
Caletera Bypass Lote  3 A 3002,,
Nevados de - Km 71,,13.0
Coihueco,,
San Nicolás,,
Calle San Jose 128,,
Calle 4 1913 Parque Industrial Ejercito,,
Juan Guillermo Sosa 803,,13.0
Patricio Lynch 221,Concepción,8.0
Vicuna Mackenna 134,,
Los Veleros 79 Villa Alto el rari coliumo,,
Pedro Gomez D L montanas 124,,
Argentina 223,Talcahuano,8.0
Nonguén,Concepción,8.0
TOomas Yavar 259,,
Berlín 4176,Hualpén,8.0
Av. Las Industrias 10445,,8.0
RUTA 160 KM 17.5 PARCELA 35,,
Pangalillo km 4,,
Km 15 camino coihueco,,
Avda Arturo Prat 199 Of 1402 Torre A,,
Av. José Miguel García 298,Concepción,8.0
Los Acacios 87 Bayona,,
Rosauro Acuña 387,,
Comandante Alvaro - Comandante Aldo Rivera Muñoz 389,,
Camilo Henriquez 457,,
Ongolmo 1880,,
Av. Americo Vespucio 2880 Ofi 604,,
Hijuelas,,5.0
Bulnes 136,,
Gral. Cruz 331,,
Dirección Volcán Calbuco 671,,
Gabriel Toro 45,,
Octavio Jara Wolf 96,,
Hijuela San Jose Mortandad SN,,
Las Garzas 102 C28,,
Av. Chacabuco 485,Concepción,8.0
schuyler 338 San Vicente,,
Av. Alonso de Ribera 2850,Concepción,8.0
ERNESTO GREVE 3249 SALINAS,,
PA Cerda 275,Penco,8.0
Variante el carmen kilometro 2.5 el carmen,,13.0
puerta oriente 361 of 517,,
Av. Zañartu 1216,Concepción,8.0
Ruta 5 sur kl 423 bulnes,,
Av. Ecuador 1039,,
Camilo Henríquez 1090,Concepción,8.0
Avenida Baena 0367,,
Bristol 2546 Pobl Armando Alarcon de Canto,,13.0
Albert Olbrecht 3363,Talcahuano,
4020000njqh a eg if - Sector Lucumavida,,
9250452 Maipú,Maipú,13.0
Obispo Hipólito Salas 1371,Concepción,8.0
Km20 San Nicolás sin número,,
Peato Barros Arana 871,Concepción,8.0
Pje Estero Collen 25 B,,
Av. Curanilahue 327,Concepción,8.0
Camino Aquinel 1605,,
Av. Portal del Libertador 269,,
Pedro Montt 221,Talcahuano,8.0
Angol 436,Concepción,8.0
Venecia 574,Talcahuano,8.0
Las Heras 935,Concepción,8.0
Barros Arana 273,Concepción,8.0
Gral. Baquedano 1135,,
Isabel Riquelme 1028,Concepción,8.0
Camino a cape km 0,,
Ainavillo 1951 Barrio Norte,,
Pedro Aguirre Cerda 463,Lota,8.0
O-630,,
Av. Los Parques 310,,
Salvador Allende 942,,
Los Lirios 4975 Los Condores,,
Colo Colo 222,Concepción,8.0
Calle larga santa clara sin numero,,
Volcan Osorno 3421 San Marcos,,
Av. Diag. Bio Bio 990,San Pedro de la Paz,8.0
Pje. Los Acacios,Concepción,8.0
Laguna Avendaño 5527,,
Joaquín Prieto 189,Concepción,8.0
Florida 186,,
Manuel Rodríguez 145,Talcahuano,8.0
Ejercito de Chile 323,,
San Clemente,,
Barboza 565,,
Bulnes 130,,
Avda Collin 1016,,
Lote 29 Parcela 35 Colonia Bernardo Ohiggins kilometro 2 5 Variante Nahueltoro,,6.0
Km 3 camino trehuaco Coelemu,,
Toscania 3112,Hualpén,8.0
Unnamed Road,,
Calle Juan Cruz Vega 450,,
Pje. Laraquete 3507,,
Av. Nueva Providencia 1881,Providencia,13.0
Baquedano 1693,,
Arteaga Alemparte 943,Talcahuano,8.0
Cocharcas 291,,
Los Araucanos 1584,Talcahuano,8.0
Alonso de Reinoso 252,Concepción,8.0
Llanquihue,,
KM 1 CAMINO A COCHOLGUAN S/N,,
Nicasio Alarcón 605,,
Ohiggins 770 Local 33,,6.0
PATRICIO LYNCH 215,,
Caleta del medio - Pasaje La Greda 1037,Tomé,8.0
El Pellin SN,,
Los Espinos 71,,
Pedro Aguirre Cerda 1454,,
Jaime Repullo 2850,Talcahuano,8.0
Las Vinas 112,,
Av. Andalién 285,Concepción,8.0
Av. Pedro de Valdivia 801,Concepción,8.0
La Frontera,,
Sarita gajardo calama 516,,
Pje. 33 6201,Talcahuano,8.0
Araucaria 119 Higueras,,
Sta. María 112,Concepción,8.0
Quilleco,,8.0
Avda circunvalacion 1087,,
Bellavista 2075,Concepción,8.0
Patricio Lynch 215,Concepción,8.0
Ohiggins 529 Sector Arenal,,6.0
Libertador Gral. Bernardo O'Higgins 756,Concepción,8.0
El Carmen,,13.0
RENGO 62 101,,
La Vega 597,Talcahuano,8.0
Lientur 669,,
Basilio Urrutia 4458,Talcahuano,8.0
Boldo 399 Higuera,,
Los Eucaliptus,,
Lyons 4365 villa Francia,,
Claudio Arrau 558,,
Luis Acevedo 3540 4260000,Talcahuano,8.0
Bellavista 1791,,
Cost 114,Concepción,8.0
Aníbal Zañartu 2601,,13.0
Colón 3252,Talcahuano,8.0
Av. O'Higgins 4050,,6.0
Parcela 6 lote B-1 Sector Cosmito,Concepción,8.0
Lago Chapo,,
Orella 74,,
Las Margaritas,,
Bodega 3 y 4 (Bodega Outlet - Cam. los Carros 1955,Concepción,8.0
Almte. Latorre 1386,Talcahuano,8.0
Blasser 427,,
Av. Apoquindo 5550,Santiago,13.0
Av. Collín 1016,,
Guarilihue Leonera S/N,,
Alamparte 8851,,
Brasil 510,,
Violeta Parra 1850,,
San Martin 639,,
Unnamed Road,,
Colon 3620,,
Camino a huape km6,,
C. LL 1195,Talcahuano,8.0
4603212 Hualpén,Hualpén,
Balmaceda 180,Talcahuano,8.0
Huérfanos 1055,Concepción,8.0
PANAMERICANA NORTE 570,,
Avda el bosque norte 0177 1002,,
Cerro Colorado 5240 1301 Las Condes,Las Condes,13.0
Población Purén calle central 236,,
Esperanza 507,Chiguayante,8.0
Diagonal BioBio 184 Candelaria,,
Orella 31,Talcahuano,8.0
Ecuador,,
Vicuña Mackenna 3220 Concepción,Concepción,
Luis Garcia C 441 3 Vicente del Rosario,,
Isla de Pascua,,
Pasaje Fontone 6054 OF 1,,
Sector Rahuil Bajo kil. 2.5,,
Vasco Núñez de Balboa 3380,Talcahuano,8.0
Av. Los Batros 2400,San Pedro de la Paz,8.0
Ramon Carrasco 375,,
Carrera 1219,,
Calle Nueva Uno interior,San Pedro de la Paz,8.0
Juan de Matta Pradel 437,Concepción,8.0
Pisagua 377,,
Tarapacá,,
Las Ulmarias 1475 Poblacion Miraflores,,
Los Jacintos 5326,,
Hualqui 642,Hualpén,8.0
28 de Octubre 366 Cerro Cornou,,
Cervantes 56 San Vicente,,
El Porvenir de Cato kilómetro 32 Coihueco,,
Belgica 1673,,
Los Notros 7181,Concepción,8.0
Los Sauces 56,San Pedro de la Paz,8.0
Fundo Los Tilos S/N Bulnes,,
Maximiliano Poblete 14601,,
Los Onas 432,,
Rafael Miranda 17,,
Monjitas 550,Santiago,13.0
Carrera 651 San Carlos,,
Sector La Piscina - Ruta N-48-O,,
Riquelme 199,,
Manuel Antonio Matta Goyenechea 201,,
Membrillar 700 B,,
Ruta 5 sur km 410,,
Flores Millán 1912,,
Malaquías Concha 819,Talcahuano,8.0
Ruta N 48 km 2,,
Parcela 13 colonia Bernardo Ohiggins,,6.0
Poblacion A Prat Oschleyer 446,,
Rosario Norte 532 piso 8,,
Camino Viejo Huachipato Lote 10 B,,
Volcán Chillán 3582,Talcahuano,8.0
Diego Portales Palazuelos 867,,
Víctor Lamas 1240,Concepción,8.0
Colo Colo 222,Concepción,8.0
Herminda Martin 557,,13.0
Caleta Tumbes Calle,Talcahuano,8.0
Germán Riesco 2941,Talcahuano,13.0
Rio Tolten 5673 San Eugenio,,
Las Dalias,,
Avenida almirante la Torre 897 San Vicente,,
Sgto. Aldea 665,,
Venecia 2991,,
Calle Principal 100 Caleta Tumbes,,
Parcela 6 Cosmito,,
Celulosa 271,,8.0
Vicuña Mackenna 860,Concepción,8.0
4030742 Concepción,Concepción,8.0
18 de septimbre 1286,,
Avenida Andalien 552,,
4450330 Los Ángeles,,8.0
Crucero colton en Rancho. El. Maitén,,
Carlos Condell 1081,,
C. Cuatro 623,Lota,8.0
Victor Abel Gonzalez 1110 Coelemu,,
Altona 3608,Hualpén,8.0
5892267‐8,,
Las Maestras 1796 pobl Ohiggins Coronel,Coronel,6.0
Colón 3430,Talcahuano,8.0
Lasareto 2B,,
Playa Buchupureo - N-102-M,,
Colón 3360,Talcahuano,8.0
Los Canelos 751,,
Pedro Montt 52,Talcahuano,8.0
Isabel Riquelme 1065,,
Schuyler 66,,
Las Rosas,,
Pedro Aguirre Cerda 794,,
Avda Del Manantial 18298,,
Orompello 1153,,
CAMINO CHILLAN A CATO KILL S N SECTOR LAS COLES,,
Ángel Parra 675,,
Marchant 466 chillan viejo,,
MAIPON 408,,
Calle Barronvieyra Nº 4,,13.0
Jorge Montt 57 Caleta El Morro,,
Bellavista 1273,Concepción,8.0
Pje Esperanza 2370 Sector Palomares,,
Av. Pedro de Valdivia 1276,Concepción,8.0
Hijuelas 1 Bce 2 lt C  Con Con,,
Padre Las Casas,Hualpén,8.0
Río Yeso 5367,Talcahuano,8.0
Los Castaños 5,,
El cabildo 201,,
San Francisco de Borja #750,,13.0
Silesia 3282,Concepción,8.0
Camilo Henríquez 485,Concepción,8.0
